year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
2002,Mercedes-Benz,C-Class,C240,Sedan,automatic,wdbrf61j82f166488,md,3.0,135921.0,white,gray,santander consumer,3050.0,1000.0,2015-02-10 05:00:00+08:00
2008,Mercedes-Benz,E-Class,E350 4MATIC,Sedan,automatic,wdbuf87x68b319080,ga,3.0,74658.0,silver,gray,south bay remarketing services,12750.0,9500.0,2015-01-13 09:30:00+08:00
2014,Chevrolet,Cruze,LTZ,Sedan,automatic,1g1pg5sb2e7396851,il,4.0,27058.0,green,brown,gm remarketing,14450.0,14400.0,2015-03-05 03:00:00+08:00
2012,Ford,Fusion,SE,Sedan,automatic,3fahp0ha9cr391347,il,2.0,35660.0,gray,black,ford motor credit company llc,11550.0,9600.0,2015-05-21 03:00:00+07:00
2013,Ford,Escape,Titanium,SUV,automatic,1fmcu9j92duc12637,mi,5.0,35954.0,red,black,ford motor credit company llc,21500.0,22000.0,2015-01-08 01:00:00+08:00
2013,Hyundai,Elantra,GLS,Sedan,automatic,5npdh4ae9dh419632,ca,4.0,28159.0,brown,beige,merchants leasing,11850.0,11700.0,2015-02-25 04:30:00+08:00
2008,HUMMER,H2,Base,SUV,automatic,5grgn23818h102609,tx,3.0,78555.0,orange,black,wichita falls ford lin inc,33000.0,30300.0,2015-03-04 02:00:00+08:00
2005,Ford,Econoline Cargo,E-250,Van,automatic,1ftne24w75ha44359,ny,1.0,191115.0,blue,gray,ari,2950.0,1100.0,2015-01-21 01:00:00+08:00
2013,Ford,Escape,SE,SUV,automatic,1fmcu0gx2dub93797,mi,5.0,2286.0,green,black,ford motor credit company llc,17000.0,17700.0,2015-01-08 01:00:00+08:00
2014,Chevrolet,Sonic,LT,Sedan,automatic,1g1jc5sg0e4211498,il,3.0,9695.0,black,black,gm remarketing,11250.0,10800.0,2015-02-24 02:00:00+08:00
2013,Lincoln,MKX,Base,SUV,automatic,2lmdj6jk6dbl44812,il,5.0,2508.0,white,beige,ford motor credit company llc,30400.0,32400.0,2015-01-27 03:00:00+08:00
2007,BMW,3 Series,328i,Convertible,automatic,wbawr33547px79782,nc,3.0,83577.0,blue,tan,liquidation llc,13350.0,10600.0,2015-02-17 01:15:00+08:00
2014,Dodge,Grand Caravan,SXT,Minivan,automatic,2c4rdgcg7er264021,fl,4.0,20492.0,white,black,enterprise holdings/gdp,16900.0,16100.0,2015-02-02 04:30:00+08:00
2005,Chevrolet,Silverado 1500,LT,crew cab,automatic,2gcek13tx51187495,tx,2.0,159486.0,silver,gray,mlg auto,9025.0,7900.0,2015-06-02 03:30:00+07:00
2013,Infiniti,JX,JX35,SUV,automatic,5n1al0mn6dc340545,fl,4.0,39585.0,white,black,avis corporation,28900.0,28500.0,2015-02-24 01:30:00+08:00
2012,Mercedes-Benz,CLS-Class,CLS550,Sedan,automatic,wddlj7db4ca011408,fl,2.0,22394.0,gray,gray,mercedes-benz financial services,45700.0,35300.0,2015-01-22 01:30:00+08:00
2009,Honda,CR-V,EX-L,SUV,automatic,5j6re38719l035681,fl,2.0,116215.0,black,black,autonation honda miami lakes,11850.0,11200.0,2014-12-30 09:15:00+08:00
2014,FIAT,500L,Easy,Wagon,automatic,zfbcfabh8ez023584,ca,3.0,28060.0,blue,gray,hertz corporation/gdp,11300.0,11000.0,2015-05-19 05:00:00+07:00
2013,Ford,Escape,SEL,SUV,automatic,1fmcu9h92dud72555,in,1.0,70682.0,black,beige,ge fleet services for itself/servicer,12950.0,6200.0,2015-05-21 05:30:00+07:00
2013,Mercedes-Benz,CLS-Class,CLS550 4MATIC,Sedan,automatic,wddlj9bb2da073096,ga,5.0,30418.0,white,beige,bank of america,47400.0,49000.0,2015-02-19 01:30:00+08:00
2013,Nissan,Rogue,S,SUV,automatic,jn8as5mt1dw009653,pr,3.0,41163.0,blue,gray,abab corportation,13250.0,14400.0,2015-02-05 03:00:00+08:00
2011,Ford,F-150,XLT,SuperCab,automatic,1ftfx1et4bfc97398,mi,4.0,15962.0,black,gray,runde chevrolet inc,24900.0,23000.0,2015-03-05 01:30:00+08:00
2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bg3er314415,fl,4.0,34222.0,black,black,chrysler group/hertz/pv holding/000gd,18050.0,18400.0,2015-03-02 04:30:00+08:00
2014,Dodge,Charger,SE,Sedan,automatic,2c3cdxbg8eh258603,fl,4.0,23507.0,silver,black,pv holding inc/gdp,16150.0,16000.0,2015-01-05 04:30:00+08:00
2007,BMW,3 Series,335i,sedan,automatic,wbavb73547vf53361,ga,2.0,118117.0,black,beige,asbury automotive group,7975.0,8100.0,2015-06-02 06:00:00+07:00
2013,Dodge,Grand Caravan,SXT,Minivan,automatic,2c4rdgcg8dr611189,ca,3.0,47643.0,red,black,avis corporation,13350.0,13200.0,2015-01-29 04:00:00+08:00
2013,Dodge,Avenger,SE,Sedan,automatic,1c3cdzab2dn725280,tx,4.0,28470.0,black,gray,chrysler capital,10800.0,11400.0,2015-01-28 02:00:00+08:00
1995,Chevrolet,Corsica,Base,Sedan,automatic,1g1ld5544sy206154,fl,1.0,170349.0,blue,blue,autonation nissan delray,275.0,350.0,2015-01-20 10:00:00+08:00
2003,Ford,Explorer,Eddie Bauer,SUV,automatic,1fmzu74w83zb11751,tx,2.0,216173.0,white,brown,titlemax/san antonio tx24,1675.0,600.0,2014-12-31 12:30:00+08:00
2012,Honda,Civic,LX,Sedan,automatic,19xfb2f51ce360795,pa,2.0,76765.0,black,gray,ahfc/honda lease trust/hvt  inc.,9150.0,6900.0,2015-02-13 01:00:00+08:00
2014,Dodge,Grand Caravan,R/T,Minivan,automatic,2c4rdgeg3er431259,va,4.0,13086.0,silver,black,enterprise veh exchange/rental,19350.0,18900.0,2015-02-12 00:45:00+08:00
2011,Volkswagen,Jetta,Base,sedan,automatic,3vw1k7aj6bm374916,ca,4.0,51394.0,white,black,mckenna motors cerritos inc,7925.0,6800.0,2015-06-17 05:30:00+07:00
2014,Toyota,Corolla,LE,Sedan,automatic,5yfburhe8ep083675,fl,2.0,27057.0,black,gray,enterprise vehicle exchange / tra / rental / tulsa,12950.0,9200.0,2015-01-13 09:00:00+08:00
2012,Ford,F-150,XLT,SuperCrew,automatic,1ftfw1ef9ckd17232,ca,2.0,62753.0,white,gray,hertz/tra,23000.0,15250.0,2015-05-14 05:00:00+07:00
2014,Kia,Soul,Base,Wagon,automatic,kndjn2a26e7740393,hi,5.0,263.0,silver,black,first hawaiian bank,13500.0,15750.0,2015-02-18 06:30:00+08:00
2014,Jeep,Patriot,Latitude,suv,automatic,1c4njrfb4ed760092,mn,4.0,25390.0,white,beige,hertz corporation/gdp,16500.0,16500.0,2015-06-17 06:00:00+07:00
2015,Kia,Soul,Base,wagon,automatic,kndjn2a25f7779655,fl,5.0,1150.0,green,black,gm financial,13500.0,14300.0,2015-06-04 02:35:00+07:00
2008,Cadillac,DTS,Performance,Sedan,automatic,1g6kd57938u128464,nv,2.0,100642.0,white,black,rent a vette,7100.0,4000.0,2015-02-12 03:00:00+08:00
2013,Hyundai,Elantra,GLS,Sedan,automatic,5npdh4ae2dh314575,mo,4.0,49368.0,red,tan,avis corporation,10650.0,10500.0,2015-01-21 02:30:00+08:00
2007,Chevrolet,Silverado 2500HD Classic,LS,Extended Cab,automatic,1gchk29u47e159566,nc,2.0,167322.0,white,gray,mike albert leasing  inc,10250.0,6100.0,2015-06-01 02:30:00+07:00
2014,Chevrolet,Cruze,2LT,Sedan,automatic,1g1pe5sb5e7391200,co,4.0,16130.0,gray,black,gm remarketing,13400.0,13900.0,2015-02-17 03:30:00+08:00
2013,Ford,Fusion,SE,Sedan,automatic,3fa6p0h73dr326605,hi,1.0,21825.0,white,black,hertz/tra,14500.0,4000.0,2015-01-13 16:00:00+08:00
2014,Dodge,Grand Caravan,SXT,Minivan,automatic,2c4rdgcg6er391746,va,5.0,17923.0,gold,black,enterprise veh exchange/rental,16900.0,17000.0,2015-01-15 00:45:00+08:00
2012,Dodge,Journey,SXT,SUV,automatic,3c4pdcbg4ct226970,ga,4.0,73472.0,white,beige,mike albert fleet solutions,10350.0,9700.0,2015-01-29 02:00:00+08:00
2013,Jeep,Wrangler,Unlimited Sport,SUV,automatic,1c4bjwdg8dl571644,fl,4.0,35733.0,white,black,ez rent a car inc,24900.0,23900.0,2014-12-23 09:00:00+08:00
2015,Kia,Sorento,LX,SUV,automatic,5xyktca60fg562987,co,5.0,6844.0,gray,tan,kia motors america  inc,20800.0,20400.0,2015-06-16 05:00:00+07:00
